08 Apr 2025 | 17:13:26,088 | DEBUG | application-akka.actor.default-dispatcher-7 | sd.cmd.Cmd | null | -> SyncInfoCmd 707853412 : {"a":[{"p":{"c":27,"t":4,"u":0,"i":0},"t":1744107142},{"p":{"c":27,"t":1,"u":1,"i":1},"t":1744107145},{"p":{"c":23,"t":4,"u":1,"i":2},"t":1744107147},{"p":{"c":20,"t":0,"u":2,"i":3},"t":1744107149},{"p":{"c":20,"t":1,"u":2,"i":4},"t":1744107153},{"p":{"c":8,"t":4,"u":2,"i":5},"t":1744107154},{"p":{"c":8,"t":1,"u":0,"i":6},"t":1744107157},{"p":{"c":25,"t":4,"u":0,"i":7},"t":1744107160},{"p":{"c":17,"t":0,"u":1,"i":8},"t":1744107163},{"p":{"c":17,"t":1,"u":1,"i":9},"t":1744107165},{"p":{"c":15,"t":4,"u":1,"i":10},"t":1744107167},{"p":{"c":15,"t":1,"u":2,"i":11},"t":1744107171},{"p":{"c":13,"t":4,"u":2,"i":12},"t":1744107175},{"p":{"c":19,"t":0,"u":0,"i":13},"t":1744107179},{"p":{"c":19,"t":3,"u":0,"i":14},"t":1744107181},{"p":{"c":24,"t":0,"u":1,"i":15},"t":1744107185},{"t":1744107187,"u":{"a":15,"c":false,"u":1}}],"s":"Sumupped","t":1744107206088,"tl":1744107187166}
08 Apr 2025 | 17:13:37,094 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi | null | Room joined: [ Room: 0_0, Id: 1, Group: 0_0, isGame: false ], { Zone: sfsak }, ( User Name: 707853412, Id: 58140, Priv: 0, Sess: 171.241.49.67:56031 ) , asSpect: false
08 Apr 2025 | 17:13:37,094 | DEBUG | application-akka.actor.default-dispatcher-23 | sd.SD | null | <- UserManualLeaveBoardReq  707853412  {}
08 Apr 2025 | 17:13:37,095 | DEBUG | application-akka.actor.default-dispatcher-23 | sd.cmd.Cmd | null | -> SuggestCmd 707853412 : {"r":5,"b":25,"c":[64000,112950],"s":4000,"g":4000,"z":0,"m":2,"n":["aid_000490.9258c76b9","ngoclinhchi1990"]}
08 Apr 2025 | 17:13:37,095 | DEBUG | application-akka.actor.default-dispatcher-29 | sd.EHActor | null | 707853412 leavedGame 0_0_12 sessionGame 171.241.49.67:56031 durationGame 11291
08 Apr 2025 | 17:13:39,146 | DEBUG | application-akka.actor.default-dispatcher-8 | sd.SD | null | <- JoinReq  707853412  {"v":[0,0,18]}
08 Apr 2025 | 17:13:39,146 | INFO  | application-akka.actor.default-dispatcher-29 | v2.api.SFSApi | null | Room joined: [ SFSGame: 0_0_18, Id: 37433, Group: 0_0, public: true, minPlayers: 2 ], { Zone: sfsak }, ( User Name: 707853412, Id: 58140, Priv: 0, Sess: 171.241.49.67:56031 ) , asSpect: true
08 Apr 2025 | 17:13:39,147 | DEBUG | application-akka.actor.default-dispatcher-18 | sd.EHActor | null | 707853412 leavedRoom 0_0 sessionRoom 171.241.49.67:56031 durationRoom 2053
08 Apr 2025 | 17:13:39,147 | DEBUG | application-akka.actor.default-dispatcher-23 | board.fsm.BoardFSM | null | 0_0_18 spectator 707853412 joined
08 Apr 2025 | 17:13:39,148 | DEBUG | application-akka.actor.default-dispatcher-29 | sd.cmd.Cmd | null | -> ResumeCmd 707853412 : {"s":"Sumupped","v":[{"p":[7,0,10,22,14,11,21,8,28,11,24,17,19,9,12,14,12,20,26,27,9,14,17,13,21,26,23,29,0,11,18,29,27,17,26,7,13,21,6,13,0,25,8,28,6,27,22,15,16,29,22,19,19,24,25,6,15,10,18,10,28,19,25,16,25,27,8,20,20,18,17,26,18,23,24,16,14,21,0,12,24,9,8,9,15,12,23,10,16,23,13,6,11,15,22,28,7,29,7,20]},{"p":4,"s":2},{"c":29,"t":4,"u":1,"i":0},{"c":7,"t":0,"u":0,"i":1},{"c":8,"t":1,"u":0,"i":2},{"c":17,"t":4,"u":0,"i":3},{"c":16,"t":1,"u":1,"i":4},{"c":13,"t":4,"u":1,"i":5},{"c":29,"t":0,"u":0,"i":6},{"c":29,"t":3,"u":0,"i":7},{"c":7,"t":0,"u":1,"i":8},{"c":7,"t":3,"u":1,"i":9},{"c":28,"t":0,"u":0,"i":10},{"c":28,"t":3,"u":0,"i":11},{"c":22,"t":0,"u":1,"i":12},{"c":22,"t":3,"u":1,"i":13},{"c":15,"t":0,"u":0,"i":14},{"c":15,"t":3,"u":0,"i":15},{"c":11,"t":0,"u":1,"i":16},{"c":11,"t":3,"u":1,"i":17},{"c":6,"t":0,"u":0,"i":18},{"c":6,"t":3,"u":0,"i":19},{"c":13,"t":0,"u":1,"i":20},{"c":13,"t":3,"u":1,"i":21},{"c":23,"t":0,"u":0,"i":22},{"a":22,"b":22,"u":0}]}
08 Apr 2025 | 17:13:39,369 | DEBUG | application-akka.actor.default-dispatcher-18 | sd.SD | null | <- UserPauseGameReq  707853412  {"b":false,"t":1744107218}
08 Apr 2025 | 17:13:39,369 | DEBUG | application-akka.actor.default-dispatcher-17 | sd.cmd.Cmd | null | -> SyncInfoCmd 707853412 : {"a":[{"p":{"c":29,"t":4,"u":1,"i":0},"t":1744107155},{"p":{"c":7,"t":0,"u":0,"i":1},"t":1744107158},{"p":{"c":8,"t":1,"u":0,"i":2},"t":1744107161},{"p":{"c":17,"t":4,"u":0,"i":3},"t":1744107163},{"p":{"c":16,"t":1,"u":1,"i":4},"t":1744107167},{"p":{"c":13,"t":4,"u":1,"i":5},"t":1744107169},{"p":{"c":29,"t":0,"u":0,"i":6},"t":1744107171},{"p":{"c":29,"t":3,"u":0,"i":7},"t":1744107171},{"p":{"c":7,"t":0,"u":1,"i":8},"t":1744107173},{"p":{"c":7,"t":3,"u":1,"i":9},"t":1744107174},{"p":{"c":28,"t":0,"u":0,"i":10},"t":1744107175},{"p":{"c":28,"t":3,"u":0,"i":11},"t":1744107176},{"p":{"c":22,"t":0,"u":1,"i":12},"t":1744107177},{"p":{"c":22,"t":3,"u":1,"i":13},"t":1744107178},{"p":{"c":15,"t":0,"u":0,"i":14},"t":1744107179},{"p":{"c":15,"t":3,"u":0,"i":15},"t":1744107180},{"p":{"c":11,"t":0,"u":1,"i":16},"t":1744107180},{"p":{"c":11,"t":3,"u":1,"i":17},"t":1744107182},{"p":{"c":6,"t":0,"u":0,"i":18},"t":1744107183},{"p":{"c":6,"t":3,"u":0,"i":19},"t":1744107187},{"p":{"c":13,"t":0,"u":1,"i":20},"t":1744107188},{"p":{"c":13,"t":3,"u":1,"i":21},"t":1744107189},{"p":{"c":23,"t":0,"u":0,"i":22},"t":1744107190},{"t":1744107192,"u":{"a":22,"c":false,"u":0}}],"s":"Sumupped","t":1744107219369,"tl":1744107192118}
08 Apr 2025 | 17:13:41,687 | DEBUG | application-akka.actor.default-dispatcher-8 | sd.cmd.Cmd | null | -> ReqPlayReq 0_0_18 707836096,707861935,707853412,707746015 : {"u":707746015}
08 Apr 2025 | 17:13:43,148 | DEBUG | application-akka.actor.default-dispatcher-8 | sd.SD | null | <- ReqPlayReq  707853412  {}
08 Apr 2025 | 17:13:43,148 | DEBUG | application-akka.actor.default-dispatcher-22 | sd.cmd.Cmd | null | -> ReqPlayReq 0_0_18 707836096,707861935,707853412,707746015 : {"u":707853412}
08 Apr 2025 | 17:13:43,149 | INFO  | application-akka.actor.default-dispatcher-22 | sd.EHActor | null | 0_0_18 707853412:nghia64582 xin chơi
08 Apr 2025 | 17:13:45,567 | DEBUG | application-akka.actor.default-dispatcher-28 | sd.cmd.Cmd | null | -> StopGameCmd 0_0_18 707836096,707861935,707853412,707746015 :
08 Apr 2025 | 17:13:46,017 | INFO  | SFSWorker:Sys:3 | v2.api.SFSApi | null | Room joined: [ Room: 0_0, Id: 1, Group: 0_0, isGame: false ], { Zone: sfsak }, ( User Name: 707853412, Id: 58140, Priv: 0, Sess: 171.241.49.67:56031 ) , asSpect: false
08 Apr 2025 | 17:13:46,017 | DEBUG | application-akka.actor.default-dispatcher-10 | sd.SD | null | <- UserManualLeaveBoardReq  707853412  {}
08 Apr 2025 | 17:13:46,018 | DEBUG | application-akka.actor.default-dispatcher-28 | sd.cmd.Cmd | null | -> SuggestCmd 707853412 : {"r":6,"b":11,"c":[262400],"s":4000,"g":0,"z":0,"m":4,"n":["bh191"]}
08 Apr 2025 | 17:13:46,018 | DEBUG | application-akka.actor.default-dispatcher-28 | sd.EHActor | null | 707853412 leavedGame 0_0_18 sessionGame 171.241.49.67:56031 durationGame 6871
08 Apr 2025 | 17:13:46,968 | DEBUG | application-akka.actor.default-dispatcher-23 | sd.EHActor | null | 707853412 leavedRoom 0_0 sessionRoom 171.241.49.67:56031 durationRoom 950
08 Apr 2025 | 17:13:47,122 | DEBUG | application-akka.actor.default-dispatcher-17 | sd.SD | null | <- GetProgressTTDataReq  707853412  {}
08 Apr 2025 | 17:13:48,254 | DEBUG | application-akka.actor.default-dispatcher-22 | sd.SD | null | <- QuickJoinReq  707853412  {"a":4000,"i":4000,"z":0}
08 Apr 2025 | 17:13:48,254 | INFO  | application-akka.actor.default-dispatcher-22 | v2.api.SFSApi | null | Room joined: [ SFSGame: 0_6_11, Id: 42926, Group: 0_6, public: true, minPlayers: 2 ], { Zone: sfsak }, ( User Name: 707853412, Id: 58140, Priv: 0, Sess: 171.241.49.67:56031 ) , asSpect: false
08 Apr 2025 | 17:13:48,255 | DEBUG | application-akka.actor.default-dispatcher-15 | board.fsm.BoardFSM | null | 0_6_11 player 707853412 joined
08 Apr 2025 | 17:13:48,255 | DEBUG | application-akka.actor.default-dispatcher-22 | sd.cmd.Cmd | null | -> ReadyTimeCmd 707853412 : {"t":95}
08 Apr 2025 | 17:13:48,430 | DEBUG | application-akka.actor.default-dispatcher-23 | sd.SD | null | <- UserListInBoardReq  707853412  {}
08 Apr 2025 | 17:13:48,430 | DEBUG | application-akka.actor.default-dispatcher-20 | sd.cmd.Cmd | null | -> UserListInBoardCmd 707853412 : {"a":[],"r":[],"l":[]}
08 Apr 2025 | 17:13:48,730 | DEBUG | application-akka.actor.default-dispatcher-15 | board.fsm.BoardFSM | null | 0_6_11 initPlayers 3397376,707845403,707853412 4000 0
08 Apr 2025 | 17:13:48,730 | DEBUG | application-akka.actor.default-dispatcher-20 | board.fsm.BoardFSM | null | 0_6_11 707853412: 0,6,7,7,9,12,13,15,17,17,18,19,22,23,24,25,25,26,28,29
08 Apr 2025 | 17:13:48,730 | DEBUG | application-akka.actor.default-dispatcher-20 | sd.resume.CheckResumeActor | null | AddResume 0_6_11 3397376,707845403,707853412 count = 1363
08 Apr 2025 | 17:13:48,731 | DEBUG | application-akka.actor.default-dispatcher-25 | sd.cmd.Cmd | null | -> StartReq 0_6_11 707853412,3397376,707845403 : {"p":[10,28,7,20,11,23,14,21,21,27,29,29,8,26,19,10,18,13,29,17,23,7,9,28,6,24,25,12,22,7,15,25,17,26,0,18,13,29,6,22,27,16,16,9,10,15,18,10,20,26,12,11,6,8,24,20,12,14,20,28,22,26,13,9,14,18,25,24,14,11,23,8,11,24,0,27,25,17,21,19,19,27,12,16,9,8,13,16,0,23,28,17,15,7,22,15,21,0,6,19]}
08 Apr 2025 | 17:13:48,731 | DEBUG | application-akka.actor.default-dispatcher-25 | sd.cmd.Cmd | null | -> PingCmd$ 707853412 :
08 Apr 2025 | 17:13:48,762 | DEBUG | application-akka.actor.default-dispatcher-20 | sd.SD | null | <- PongReq  707853412  {}
08 Apr 2025 | 17:13:55,355 | DEBUG | application-akka.actor.default-dispatcher-22 | sd.cmd.Cmd | null | -> ChonNocReq 0_6_11 707853412,3397376,707845403 : {"p":2}
08 Apr 2025 | 17:13:56,100 | DEBUG | application-akka.actor.default-dispatcher-10 | sd.cmd.Cmd | null | -> BocCaiReq 0_6_11 707853412,3397376,707845403 : {"p":0,"s":2}
08 Apr 2025 | 17:13:56,101 | DEBUG | application-akka.actor.default-dispatcher-10 | run.model.Player | null | 0_6_11 707853412 vars-changed-user: List(c -> 84525.0)
08 Apr 2025 | 17:13:56,101 | DEBUG | application-akka.actor.default-dispatcher-10 | sd.cmd.Cmd | null | -> ButtonControlOnStart 707853412 : {"d":{"a":{"s":0,"t":0},"b":{"s":0,"t":0},"c":{"s":0,"t":0},"d":{"s":1,"t":0},"t":{"s":0,"t":0},"u":{"s":1,"t":0},"o":{"s":0,"t":0}}}
08 Apr 2025 | 17:14:02,331 | DEBUG | application-akka.actor.default-dispatcher-15 | sd.SD | null | <- PickUpCardReq  707853412  {"c":15,"i":0}
08 Apr 2025 | 17:14:03,232 | DEBUG | application-akka.actor.default-dispatcher-28 | sd.SD | null | <- PlayReq  707853412  {"c":15,"t":4,"u":2,"i":0}
08 Apr 2025 | 17:14:03,233 | DEBUG | application-akka.actor.default-dispatcher-28 | sd.cmd.Cmd | null | -> ButtonControlCmd 707853412 : {"a":0,"d":{"a":{"s":0,"t":0},"b":{"s":0,"t":0},"c":{"s":0,"t":0},"d":{"s":0,"t":0},"t":{"s":0,"t":0},"u":{"s":0,"t":0},"o":{"s":0,"t":0}}}
08 Apr 2025 | 17:14:03,233 | DEBUG | application-akka.actor.default-dispatcher-24 | board.fsm.BoardFSM | null | 0_6_11 707853412 play 2:4:15
08 Apr 2025 | 17:14:03,233 | DEBUG | application-akka.actor.default-dispatcher-28 | sd.cmd.Cmd | null | -> PlayReq 0_6_11 707853412,3397376,707845403 : {"c":15,"t":4,"u":2,"i":0}
08 Apr 2025 | 17:14:06,819 | DEBUG | application-akka.actor.default-dispatcher-19 | sd.cmd.Cmd | null | -> ButtonControlCmd 707853412 : {"a":1,"d":{"c":{"s":1,"t":0},"u":{"s":1,"t":12000}}}
08 Apr 2025 | 17:14:06,819 | DEBUG | application-akka.actor.default-dispatcher-19 | sd.cmd.Cmd | null | -> PlayReq 0_6_11 707853412,3397376,707845403 : {"c":6,"t":0,"u":0,"i":1}
08 Apr 2025 | 17:14:08,896 | DEBUG | application-akka.actor.default-dispatcher-15 | sd.cmd.Cmd | null | -> ButtonControlCmd 707853412 : {"a":2,"d":{}}
08 Apr 2025 | 17:14:08,896 | DEBUG | application-akka.actor.default-dispatcher-15 | sd.cmd.Cmd | null | -> PlayReq 0_6_11 707853412,3397376,707845403 : {"c":6,"t":3,"u":0,"i":2}
08 Apr 2025 | 17:14:10,737 | DEBUG | application-akka.actor.default-dispatcher-8 | sd.cmd.Cmd | null | -> ButtonControlCmd 707853412 : {"a":3,"d":{}}
08 Apr 2025 | 17:14:10,738 | DEBUG | application-akka.actor.default-dispatcher-8 | sd.cmd.Cmd | null | -> PlayReq 0_6_11 707853412,3397376,707845403 : {"c":6,"t":1,"u":1,"i":3}
08 Apr 2025 | 17:14:12,053 | DEBUG | application-akka.actor.default-dispatcher-25 | sd.cmd.Cmd | null | -> ButtonControlCmd 707853412 : {"a":4,"d":{"a":{"s":1,"t":0},"b":{"s":1,"t":0},"c":{"s":1,"t":0},"u":{"s":1,"t":12000}}}
